seq,time,x,y
292,20.579997942,13.604606628417969,1.8990330696105957
293,20.589997941,13.59807300567627,1.8749020099639893
294,20.59999794,13.591534614562988,1.8507720232009888
295,20.639997936,13.565423965454102,1.7542407512664795
296,20.69999793,13.526656150817871,1.6093356609344482
297,20.719997928,13.513937950134277,1.560978889465332
298,20.729997927,13.507631301879883,1.5367867946624756
299,20.739997926,13.501363754272461,1.5125846862792969
300,20.749997925,13.495132446289062,1.4883716106414795
301,20.769997923,13.482850074768066,1.4399000406265259
302,20.779997922,13.476799011230469,1.4156417846679688
303,20.789997921,13.470807075500488,1.3913686275482178
304,20.79999792,13.464875221252441,1.3670804500579834
305,20.819997918,13.453206062316895,1.3184566497802734
306,20.829997917,13.447470664978027,1.294121265411377
307,20.849997915,13.43619441986084,1.2454031705856323
308,20.919997908,13.399430274963379,1.0742857456207275
309,21.019997898,13.354691505432129,0.8282901644706726
310,21.089997891,13.329544067382812,0.6550706028938293
311,21.209997879,13.300445556640625,0.35643401741981506
312,21.319997868,13.292010307312012,0.0814928412437439
313,21.409997859,13.299257278442383,-0.14345455169677734
314,21.439997856,13.304000854492188,-0.21831613779067993
315,21.449997855,13.305767059326172,-0.24325764179229736
316,21.529997847,13.323112487792969,-0.44252681732177734
317,21.539997846,13.32567310333252,-0.4673987030982971
318,21.569997843,13.333854675292969,-0.5419600009918213
319,21.579997842,13.336737632751465,-0.566796064376831
320,21.589997841,13.339696884155273,-0.591623067855835
321,21.639997836,13.355559349060059,-0.7156229615211487
322,21.649997835,13.358935356140137,-0.7403961420059204
323,21.759997824,13.400267601013184,-1.0122833251953125
324,21.79999782,13.416874885559082,-1.1108973026275635
325,21.829997817,13.429237365722656,-1.1848723888397217
326,21.839997816,13.433308601379395,-1.2095389366149902
327,21.849997815000002,13.437355041503906,-1.234209656715393
328,21.889997811,13.453216552734375,-1.332946538925171
329,21.89999781,13.457082748413086,-1.3576467037200928
330,21.949997805,13.475713729858398,-1.4812567234039307
331,21.989997801,13.48961067199707,-1.5802929401397705
332,22.049997795,13.508549690246582,-1.7291061878204346
333,22.119997788,13.526477813720703,-1.9032292366027832
334,22.19999778,13.538743019104004,-2.1029157638549805
335,22.239997776,13.54128646850586,-2.2029271125793457
336,22.249997775,13.541531562805176,-2.227937698364258
337,22.289997771,13.540924072265625,-2.3279809951782227
338,22.29999777,13.540369987487793,-2.352987289428711
339,22.329997767,13.537673950195312,-2.4279961585998535
340,22.339997766,13.536349296569824,-2.452984571456909
341,22.349997765,13.534802436828613,-2.4779601097106934
342,22.379997762,13.52883243560791,-2.552788019180298
343,22.389997761,13.526405334472656,-2.5776925086975098
344,22.449997755,13.507242202758789,-2.7265849113464355
345,22.489997751,13.490103721618652,-2.8251893520355225
346,22.49999775,13.485288619995117,-2.849743127822876
347,22.539997746,13.463911056518555,-2.9475183486938477
348,22.549997745,13.45803165435791,-2.9718403816223145
349,22.589997741,13.432329177856445,-3.0685770511627197
350,22.59999774,13.425350189208984,-3.09260892868042
351,22.649997735,13.386999130249023,-3.211724281311035
352,22.749997725,13.29247760772705,-3.443370819091797
